comparison,feature,rank_biserial,abs_effect,p_value
human_vs_ai_base,n_words,0.9791666666666667,0.9791666666666667,6.4160741993627035e-09
human_vs_ai_base,n_chars,0.8680555555555556,0.8680555555555556,2.6729026252839186e-07
human_vs_ai_base,fear_word_rate,-0.5694444444444444,0.5694444444444444,0.0007471141459667378
human_vs_ai_base,type_token_ratio,-0.546875,0.546875,0.0012056121875724298
human_vs_ai_base,quote_count,0.5243055555555556,0.5243055555555556,0.0011498081645296271
human_vs_ai_base,avg_word_len,-0.5138888888888888,0.5138888888888888,0.002354817567869459
human_vs_ai_base,question_count,0.3350694444444444,0.3350694444444444,0.01774534013033106
human_vs_ai_base,exclamation_count,0.25,0.25,0.010262960730969639
human_vs_ai_base,ellipsis_count,0.0,0.0,1.0
human_vs_ai_finetuned,n_chars,-1.0,1.0,3.0486925428275336e-09
human_vs_ai_finetuned,type_token_ratio,1.0,1.0,3.057667718126555e-09
human_vs_ai_finetuned,avg_word_len,-1.0,1.0,3.06366423367317e-09
human_vs_ai_finetuned,ellipsis_count,-1.0,1.0,2.2080532985088112e-10
human_vs_ai_finetuned,fear_word_rate,0.9166666666666667,0.9166666666666667,3.1454172947051673e-09
human_vs_ai_finetuned,exclamation_count,-0.8923611111111112,0.8923611111111112,4.8181604624222565e-08
human_vs_ai_finetuned,quote_count,0.6875,0.6875,1.2938648075228545e-05
human_vs_ai_finetuned,n_words,-0.5833333333333333,0.5833333333333333,0.0005500790268662963
human_vs_ai_finetuned,question_count,0.5,0.5,9.559091642896479e-05
